Date,Python_version,Tensorflow_version,Numpy_version,Loss,Accuracy,Time
2019-07-05 21:50:54.707166,3.6.8,1.13.1,1.16.2,0.226852,0.933,9.644
2019-07-05 21:51:39.828420,3.6.8,1.13.1,1.16.2,0.225936,0.935,9.202
2019-07-05 22:03:57.582148,3.6.8,1.13.1,1.16.2,0.229273,0.934,8.394
2019-07-05 22:07:14.543136,3.6.8,1.13.1,1.16.2,0.229013,0.933,10.120
2019-07-05 22:27:40.154685,3.6.8,1.13.1,1.16.2,0.215710,0.937,9.179
2019-07-14 18:21:11.680041,3.6.8,1.13.1,1.16.2,0.231852,0.933,7.371
2019-08-05 20:50:08.472950,3.6.8,1.13.1,1.16.2,0.223917,0.935,34.600
2019-08-05 20:51:22.525772,3.6.8,1.13.1,1.16.2,0.225660,0.935,34.890
2020-07-11 07:01:44.244356,3.6.8,1.13.1,1.16.2,0.226394,0.933,18.024
2020-07-11 07:02:50.036622,3.6.8,1.13.1,1.16.2,0.220170,0.936,9.785
2020-07-11 07:05:40.910343,3.6.8,1.13.1,1.16.2,0.224104,0.934,13.352
